Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
・,0.0006631613931674663,「,0.0007512434123438938,！,0.0005597641274589504,」,0.0008878542459601624,」,0.0010997506860500605
取り返す,0.0002935176141269924,」,0.0007418774764188507,・,0.0004871926069617283,「,0.0008459248214865989,「,0.0010214127224297265
【,0.0002247724378917626,取り返す,0.00041114238943151804,」,0.0004468186834176713,取り返す,0.0003492214575346875,　,0.0006922174344879961
←,0.00021990254002768328,・,0.0003599238397161697,取り返す,0.00043716464512599806,★,0.00028750148758360794,取り返す,0.0004388463462158265
、,0.00021212512487700508,←,0.00018340712411302196,「,0.00039422458482318845,ω,0.00023167093202514089,・,0.00025378173005863314
「,0.00020548945049969625,～,0.00015369868113579432,　,0.00028034544123389793,・,0.0001801301358794749,ああ,0.0001728371369049686
」,0.00019321805374894474,★,0.00014890314863147402,けど,0.0002128652514888918,か,0.00011114213620944113,え,0.00012697819634754914
】,0.00018611543506097394,゜,0.00012504595209794633,★,0.0001495511866780319,推す,0.00010704070909661745,描く,0.00011808975156146762
読む,0.00013120073316308378,ω,0.0001101029163819156,だ,0.00012829612468800988,を,0.0001042046966212018,高い,0.0001020134529802208
おせる,0.00011261393722716839,＆,0.0001100917306997573,ます,0.00011201056607734738,な,0.00010407641589549321,＆,9.904898589485622e-05
当たる,0.0001009599887825674,【,8.549008623437437e-05,ない,0.00011118713697566562,！,9.417406714873344e-05,怖い,9.369171120499065e-05
！,9.304406360466366e-05,】,8.116472145602849e-05,を,0.00010055760884575271,ｗ,9.413583122663827e-05,☆,8.723834212043258e-05
『,9.167197435233643e-05,貯まる,6.587862010887235e-05,か,7.823500833115116e-05,おせる,8.650973278889751e-05,なぁ,8.567256971514503e-05
貯まる,8.976592000775607e-05,おせる,6.404153388561706e-05,』,7.215823667661159e-05,ます,7.760661649125478e-05,てる,7.306937450890505e-05
推す,8.970464233437614e-05,た,6.264669442923587e-05,見る,6.985953599636385e-05,＝,7.755325127423163e-05,を,6.70181693825933e-05
』,8.911139754563813e-05,推す,6.102015047393383e-05,『,6.746373764776603e-05,の,7.633981499099995e-05,取り返せる,6.305099545556025e-05
。,7.661088797317195e-05,取り返せる,5.9070550522899445e-05,おせる,6.728779978015798e-05,ま,7.608652218116241e-05,た,6.292310432354231e-05
ぶつ,6.646709725521838e-05,ぽん,5.845830056472323e-05,なあ,6.555615774961332e-05,＞,6.583970631879321e-05,だけ,6.236047476204654e-05
怖い,6.291100379940406e-05,勝ち取る,5.6981121227206444e-05,取り返せる,6.535749580849348e-05,ぶつ,6.462815031171854e-05,勝ち取る,6.126980204546051e-05
＝,6.056136601650941e-05,読む,5.557776217846033e-05,てる,6.463483539220771e-05,怖い,6.218129876578438e-05,ま,6.050154032610777e-05
）,5.8359304483057706e-05,＼,5.1917587288841105e-05,勝ち取る,6.092794816425773e-05,や,5.8535606867748946e-05,おせる,5.8218817073019125e-05
？,5.7052532579482396e-05,＊,5.148108539565488e-05,ので,6.00185447022783e-05,高い,5.3504783921964894e-05,どたばた,5.790745001443831e-05
（,5.595434544014566e-05,を,5.03377404106331e-05,は,5.3490860378535565e-05,取り返せる,5.109332305708314e-05,ρ,5.669059007851196e-05
ぶす,4.76042497049578e-05,高い,4.8806046903382416e-05,＝,5.152161568766633e-05,　,4.973555524256934e-05,っす,5.51963013305512e-05
こい,4.716622997558151e-05,ぶつ,4.750971294997797e-05,が,5.0471113979266846e-05,→,4.888607665121114e-05,＝,5.483437959863391e-05
という,4.698294142635451e-05,怖い,4.716061508591718e-05,ぶつ,5.037558513965035e-05,貯まる,4.830426698532175e-05,貯まる,5.433982874392118e-05
，,4.4781557820505746e-05,＝,4.6726194194435244e-05,ある,4.7248849414316396e-05,勝ち取る,4.797072323814433e-05,や,5.4216142542973245e-05
”,4.3422177369190074e-05,の,4.5792308263736814e-05,←,4.7083798957126e-05,どたばた,4.7105147319426166e-05,て,5.3583473076601607e-05
だ,4.2396115380927135e-05,ρ,4.392217436177681e-05,っす,4.684220426420804e-05,すく,4.56802382400312e-05,ぽん,5.2086719493971145e-05
◆,4.1844064425422545e-05,どたばた,4.380229313005746e-05,高い,4.5370001787725656e-05,です,4.404354309295311e-05,たい,5.018473297146997e-05
取り返せる,4.1829210118415894e-05,見る,4.202440217970782e-05,つぶやく,4.457710169158968e-05,とか,4.261423685536503e-05,＊,4.8987837933722744e-05
っす,4.1774100628444444e-05,呟く,4.0194213102418e-05,し,4.4526108020082056e-05,こい,4.240811204370143e-05,の,4.835530423485945e-05
勝ち取る,4.0909378474562885e-05,おやすみなさい,3.917966349953339e-05,暫く,4.129120045059942e-05,：,4.179572794160702e-05,なあ,4.595923203820629e-05
ます,4.083792817533016e-05,暫く,3.850975821539926e-05,という,4.114411421496378e-05,読める,4.1642322390123e-05,ぶつ,4.496870847892076e-05
｜,4.057706393256755e-05,すく,3.739995414053787e-05,どたばた,3.9454534698779575e-05,］,4.140865715662745e-05,すく,4.345345047118698e-05
どたばた,3.985451335086765e-05,ぼっと,3.460257052190219e-05,すく,3.935486768669172e-05,ぼっと,4.07007879735799e-05,暫く,4.279545566066023e-05
お,3.9677981743757584e-05,ぶす,3.409279009647381e-05,ω,3.8278473122543843e-05,［,3.994091889503171e-05,可愛い,4.0264229559605624e-05
　,3.932985955923396e-05,ね,3.328469476282514e-05,と,3.634441431499269e-05,。,3.9771915786412926e-05,，,3.945065735089237e-05
高い,3.794566524661924e-05,こい,3.3234248491553764e-05,へ,3.569016423854432e-05,『,3.940440293459524e-05,観る,3.847573497084422e-05
ρ,3.738676157249987e-05,けれど,3.2820564561553134e-05,思う,3.5397314064544716e-05,ぽん,3.934211244027708e-05,推す,3.843550280013819e-05
けど,3.6892485126061025e-05,、,3.277072066321107e-05,走る,3.5148859998557214e-05,ぶす,3.764516320814426e-05,まとめる,3.6822651154233554e-05
読める,3.600145456228443e-05,観る,3.197963286694083e-05,ρ,3.429470716409533e-05,てる,3.592013141773265e-05,まぁ,3.567496284051508e-05
する,3.558370196443672e-05,☆,3.080218082573971e-05,くらい,3.2770756778766064e-05,りん,3.589238061618705e-05,こい,3.558429503236482e-05
→,3.5473883519210325e-05,→,3.0141532481486877e-05,呼び出す,3.218119239523087e-05,暫く,3.42388934354565e-05,が,3.445087898079624e-05
すく,3.443710888717533e-05,なー,2.8501486527443554e-05,読める,3.2017027414621424e-05,ρ,3.371889822245677e-05,な,3.363468793127211e-05
無い,3.3505257835741986e-05,！,2.8235845198065768e-05,観る,3.15362481931869e-05,く,3.331221129054818e-05,よ,3.348918283663238e-05
描く,3.269105103709258e-05,ほめる,2.6738716086827097e-05,読む,3.133524372767038e-05,』,3.304969463335805e-05,＞,3.329896020187739e-05
暫く,3.146245563934169e-05,呼び出す,2.666890168534497e-05,貯まる,3.111020859436486e-05,わ,3.295563083161035e-05,］,3.307265970631246e-05
ぼっと,3.015443747522717e-05,Ｔ,2.6604583296063744e-05,な,3.0245734759515308e-05,走る,3.267565149178697e-05,［,3.275971241512021e-05
ほめる,3.014010099144926e-05,はっする,2.6443283160371145e-05,ぼっと,3.0145493145505853e-05,やん,3.147020556804048e-05,読める,3.2477430954025444e-05
観る,2.943333761629141e-05,○,2.6066274269043177e-05,苦しい,3.005161985236704e-05,行く,3.0976912177682614e-05,か,3.244789190026687e-05
★,2.89663783932248e-05,く,2.5072607634735178e-05,まあ,2.9753190009196295e-05,わかる,3.0336012256659828e-05,うい,3.216440096398543e-05
はっする,2.8791423791418858e-05,どっさり,2.4561725360805475e-05,煙る,2.9136778737726132e-05,ない,3.0012753163055628e-05,呼び出す,3.214286644515063e-05
はじめる,2.8587057694928752e-05,苦しい,2.4354881417609775e-05,＊,2.837342412020938e-05,小さな,2.9746097076732703e-05,やん,3.139156322806702e-05
な,2.8539913326297572e-05,Ｑ,2.4032772495741206e-05,はっする,2.817851234537816e-05,ああ,2.9377084677983945e-05,ぼっと,3.0963790192073404e-05
ぽん,2.7531831983784727e-05,ふる,2.2197003133772597e-05,怖い,2.8104871082512695e-05,―,2.92591878539028e-05,あ,3.087510385368919e-05
＞,2.6366452879789115e-05,痛い,2.1191312560175923e-05,ぶす,2.7891918714328945e-05,ん,2.900187259324838e-05,ない,3.081634432866576e-05
と,2.5489524422273035e-05,ぐるぐる,2.066272109346734e-05,ほめる,2.7655063194131912e-05,ありがとう,2.7998783328375687e-05,ほめる,2.903031066181505e-05
見れる,2.5474959084781368e-05,へ,2.0583860471212745e-05,こい,2.7350138705140026e-05,＊,2.7796489621700893e-05,寝る,2.8902107103712105e-05
呟く,2.527833395848944e-05,Σ,2.0171216567832495e-05,◆,2.6936738489191647e-05,から,2.7550911700036096e-05,もう,2.823461901035884e-05
☆,2.5082694551370466e-05,はじめる,1.9905032026756864e-05,ぽん,2.676742554030831e-05,悩む,2.7393129310548936e-05,つ,2.8221538569073168e-05
て,2.4148302805504507e-05,：,1.9839764614726363e-05,Ｔ,2.6536803513721452e-05,買う,2.5157888085325375e-05,★,2.8112940165248013e-05
勝つ,2.4084897543352746e-05,見れる,1.967470009034411e-05,とか,2.4308091540747867e-05,え,2.483974935396649e-05,とか,2.7940217094735154e-05
た,2.407622512456964e-05,ダラダラ,1.9345029787398715e-05,から,2.4014432942087716e-05,ほめる,2.3970542521900562e-05,ええ,2.5726566651229632e-05
の,2.4019302401590004e-05,及び,1.9297330970391435e-05,Ｑ,2.3963946736205166e-05,描く,2.352389414639333e-05,○,2.5196389019765952e-05
“,2.3515614026359266e-05,まったり,1.857133933491628e-05,た,2.3943929109426776e-05,下さる,2.2983097507034422e-05,』,2.4341482430689787e-05
ダラダラ,2.3406709400153325e-05,ピッタリ,1.7996314649382228e-05,どうぞ,2.3127714935844423e-05,苦しい,2.294488743526113e-05,苦しい,2.4256283928769662e-05
ｄ,2.279796206727802e-05,きっと,1.7875267217637436e-05,の,2.264372331217679e-05,はっする,2.2917074393613568e-05,読む,2.3763493707806838e-05
＾,2.2116312833886376e-05,悩む,1.776496446281861e-05,も,2.233398675555165e-05,まずは,2.2479182861578906e-05,ぶす,2.3743676806353697e-05
やん,2.0742371630078082e-05,っす,1.741848628245002e-05,推す,2.230842614425743e-05,どっさり,2.1791379011260048e-05,▽,2.3313478658471e-05
書く,2.040492030097596e-05,＋,1.7202600267829382e-05,→,2.2108643212170875e-05,Ｔ,2.1673344013373175e-05,おお,2.2249190208767367e-05
第,1.9797919456276958e-05,てる,1.7054485793255303e-05,ちょっと,2.1231419409795116e-05,◆,2.149861761735483e-05,ノ,2.2219628293740357e-05
――,1.9406189556647746e-05,ノ,1.6505424755508535e-05,みる,2.1205434715176885e-05,☆,2.143104515961447e-05,この,2.17617761507638e-05
つ,1.9192080407681722e-05,まずは,1.6478984148471376e-05,ぐるぐる,2.022860108885638e-05,どる,2.100520539483064e-05,くる,2.1047580560873413e-05
＊,1.8735059160279732e-05,賢い,1.647868093357374e-05,まずは,2.016021555917291e-05,すぎる,2.0103012655092733e-05,”,2.085153518938121e-05
どうぞ,1.8625469392352656e-05,見直す,1.6378596308763704e-05,買う,1.9972739910389947e-05,Ｑ,1.9575604313648576e-05,“,2.070691252742396e-05
＆,1.8595225936834936e-05,初,1.63076583453714e-05,なる,1.9900560502605913e-05,って,1.9396468562304925e-05,及び,2.0645695186449764e-05
しつける,1.8543997984843408e-05,あに,1.5811894991335507e-05,つらい,1.9889369291758996e-05,なあ,1.855959456076306e-05,『,2.058994529674507e-05
